,0,1
1132,parthici,172
1133,ἄπειμι,172
1134,κίνδυνος,171
1135,μέλλω,171
1136,νικίου,171
1137,νείκη,171
1138,σφραγίς,170
1139,ἐπήκοος,170
1140,ἀτελής,169
1141,ἀριστοκράτης,169
1142,ἐπιτάσσω,169
1143,κλέος,169
1144,ποιητής,169
1145,τίμωνος,169
1146,εὐκλείδας,169
1147,pontifex,169
1148,ἐλένξας,169
1149,φαληρεύς,168
1150,μέλας,168
1151,πένταθλος,168
1152,Κῷος,168
1153,παροδεῖτα,168
1154,εὐφρόσυνος,167
1155,εὐχαριστία,167
1156,νικάνωρ,167
1157,πρεσβεύω,167
1158,ὕω,167
1159,δραχ,167
1160,ἄατος,166
1161,ἥκω,166
1162,θε,166
1163,τιμόκριτος,166
1164,αὐρήλιον,166
1165,μνίας,166
1166,posuerunt,166
1167,pace,166
1168,μεινὸς,166
1169,Νάξιος,165
1170,ἐργασία,165
1171,δήμητρι,165
1172,Καλλίας,165
1173,ῥαμνούσιος,165
1174,pontifici,165
1175,Ἡράκλειδαι,165
1176,sacrum,165
1177,Παναθήναια,164
1178,θέατρον,164
1179,ἀπέχω,164
1180,πωλέω,164
1181,Ἴων,164
1182,δʹ,164
1183,pii,164
1184,τρίπους,163
1185,δρόμος,163
1186,χα,163
1187,σώστρατος,163
1188,κατάλογος,163
1189,ἀπελλαίου,163
1190,ἔνγυος,163
1191,φιλάδελφος,163
1192,memoriae,163
1193,μενεκράτης,162
1194,ἐγγύη,162
1195,φιλόνεικος,162
1196,κλεοπάτρας,162
1197,ἀπολλοδώρου,162
1198,πτολεμαίου,162
1199,Μαρία,162
1200,προαίρεσις,162
1201,λινδίας,162
1202,θεόπομπος,161
1203,νεώς,161
1204,κλεινός,161
1205,legato,161
1206,στρόφιγξ,161
1207,πείθω,160
1208,λιμήν,160
1209,ὅμοιος,160
1210,βοηθός,160
1211,ἱεροφάντης,160
1212,σεουήρου,160
1213,ζωΐλος,159
1214,διαφυλάσσω,159
1215,Ἀριστείδης,159
1216,ζωός,159
